,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,999,,,,,,,,0
,,,,,,,,,,,,,,,,,,20,20,20,20,1,1|3,1,20,20,20,20,,,0
,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,0
,,,,,,,,,,,6,,,,5,,,,,,,,,,,,,,,,0
,,,,,,,,,,,6,,,,5,,,,,,,,,,,,,,,,0
,,,,,,,,,,,4,4,4,4,4,410,,,,,,,,,,,,,,,0
,,,,,20,20,20,1,1|3,1,20,20,20,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,0
,,,,,,,,,,,,,,,,400,,,,998,,,8,,,,,,,,0
,,,,,,,,,,,,,,,,1,1|3,1,1,1,1,1,1,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
