,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,999,,,,,,,,0
,,,,,,,,,,,,,,,,,,20,20,20,20,1,1|3,1,20,20,20,20,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,101,101,101,410,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,0
,,,,,20,20,20,1,1|3,1,20,20,20,,,,,,,,,,8,,,,,,,,0
,,,,,,,,,,,,,,,,400,,,,998,,,8,,,,,,,,0
,,,,,,,,,,,,,,,,1,1|3,1,1,1,1,1,1,,,,,,,,0
,,,,,998,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
