,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,0
,,,,999,,,,,,,,,,998,8,,998,,,,,,,,,,,,,,0
,,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,410,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,20,20,20,20,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,0
,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1|33,1,1,1,1,1,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
