,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,0
,,,,,,,,,,,,,,,,6,,,,5,,,,,,,,,,,0
,,,,,,1,1,1,1,1,1,1,,,,6,,,,5,,,,,,,,,,,0
,,,,,,,6,,,,5,,,,,6,,,,5,,,,,,,,,,,0
,,,,,,,6,,,,5,,,,,4,4,4,4,4,,,,,,,,,,,0
,,,,,,,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,999,,,,,,,,,998,,,,,,,,,,,,,,,,,,0
,,,1,1,1,1,1,,,,1,1,1,1,,110,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,998,,,,,,,,0
,,,,,,,,,,,,,,,100,100,100,,1,1,1,1,1,1,1,1,1,1,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
