,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,0
,,,,,,,,,,,6,,,,5,,,,,,,,,,,,,,,,0
,,,,,,,,,,,6,,,,5,,,,,,,,,,,,,,,,0
,,,,,,,,,,,6,,,,5,,,,,,,110,,1,1,2,2,2,1,1,0
,,,,,,,,,,410,4,4,4,4,4,,,,,,,,,,5,,,,6,,0
,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,6,,0
,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,6,,0
,,,,,,,,,,,,,,,,,,998,,,,,,,4,4,4,4,4,,0
,,,,,,,,,,,,,,1,1,1,1,1,1,1,100,100,100,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,999,,,,,400,,,,,,,,,,,,,,,,,,,,,0
,,,,1,1,1,1,1|3,1,1,1,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,0
,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
