,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,0
,,,,,,,,,,,,,6,,,,5,,,,,,,,,,,,,,0
,,,,,,,,,,,,,6,,,,5,,,,,,,,,,,,,,0
,,,,,,,,,,,,,6,,,,5,,,,,,,,,,,,,,0
,,,,,,,,,,,,,6,,999,,5,,,,,,,,,,,,,,0
,,,,,,,,,,,,,4,4,4,4,4,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,111,2,2,2,2,2,2,2,,,,,,,,,,101,101,101,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,110,,1,1,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,1,1,1,,,,1,1,1,100,100,100,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
